"gene","beta_age_rna","p_rna","FDR_rna"
"ENSG00000225972.1",-0.262113461674912,0.000736705428461512,0.00218751004619566
"ENSG00000225630.1",-0.076511536807286,0.00462635528968626,0.011378735979185
"ENSG00000237973.1",0.0468727509847075,0.287714293266893,0.39114074882932
"ENSG00000229344.1",-0.00746394791002593,0.810609968463588,0.864852824773267
"ENSG00000240409.1",-0.0949046083046291,0.00546196168644901,0.0131875312020416
"ENSG00000248527.1",-0.056481937782048,0.00226988041996233,0.00603186184829674
"ENSG00000198744.5",-0.159163991169281,0.000224090713104312,0.000744957706423217
"ENSG00000268663.1",-0.0254837199140718,0.647941549878129,0.734257800658448
"ENSG00000273547.1",-0.0409301107511756,0.371800188143873,0.479182363913288
"ENSG00000229376.3",-0.0124838731136405,0.661390290374613,0.745650493115425
"ENSG00000228327.3",0.109657257684711,3.27886279071282e-11,4.43182867890684e-10
"ENSG00000223181.1",-0.0408923153139773,0.776277444523364,NA
"ENSG00000229905.1",0.0143474574624149,0.787609625573625,0.847072693329959
"ENSG00000237491.8",0.086035176457192,1.76167417906502e-06,9.27101536371257e-06
"ENSG00000230092.7",0.0666500852184664,0.00304211481947846,0.00783581661295399
"ENSG00000177757.2",0.0793907849582566,0.000579298735634448,0.00176068130148546
"ENSG00000228794.8",0.00218265390940834,0.89385180104098,0.926515475438077
"ENSG00000225880.5",0.0610772419287106,0.000657132436848643,0.00197268292459231
"ENSG00000230368.2",-0.0716008459308332,0.020697674267675,0.0424073986092256
"ENSG00000234711.1",-0.0579739946430011,0.111501022556032,0.179555094943679
"ENSG00000283040.1",0.0116942249838426,0.81331732772978,0.866736920046192
"ENSG00000272438.1",0.0607253012405757,0.292769857490499,0.396399648296768
"ENSG00000230699.2",0.0101878048701578,0.788133385826878,0.847522846370749
"ENSG00000241180.1",-0.00167382125087985,0.998266444354464,NA
"ENSG00000223764.2",0.213720862220696,7.45818535028039e-08,5.22332333279907e-07
"ENSG00000187634.11",0.0496719120177459,0.175162346002813,0.261441302295088
"ENSG00000188976.10",-0.038667703250949,0.000214790649991793,0.00071703446832139
"ENSG00000187961.13",-0.013774475826833,0.316285424802219,0.421578707069366
"ENSG00000187583.10",-0.0221457171367804,0.493859134136102,0.597157508571665
"ENSG00000187642.9",-0.0522740501944222,0.0968494482423097,0.159540911543988
"ENSG00000272512.1",0.17947295496052,7.6514186851687e-09,6.46608088885893e-08
"ENSG00000188290.10",0.0443214782832851,0.0988693556114516,0.162337184502818
"ENSG00000187608.8",0.0751961451505794,0.00195567153829955,0.0052706888789798
"ENSG00000231702.2",0.0638655469186543,0.362830390380987,0.47010388698217
"ENSG00000224969.1",0.184688085684728,0.000120071519989064,0.000421558573611638
"ENSG00000188157.14",0.0899283197919275,1.65973259899743e-07,1.07760555183345e-06
"ENSG00000217801.9",-0.0342178264530508,0.250169367864655,0.349166524048286
"ENSG00000273443.1",0.0240965209646444,0.623875949056064,0.71385347530052
"ENSG00000237330.2",-0.00345104978740461,0.931517289769824,0.952983664471295
"ENSG00000131591.17",0.0521691230234812,9.05477944877327e-06,4.08020556000519e-05
"ENSG00000223823.1",-0.0698450161152999,0.0841913191450098,0.141643443680345
"ENSG00000207730.3",0.0295029221144451,0.78855897998756,NA
"ENSG00000207607.3",-0.0627675169855426,0.669734586820382,NA
"ENSG00000198976.1",0.0265052394879253,0.817543594005762,NA
"ENSG00000272141.1",-0.0905451504839581,0.0385729756052794,0.0728311843975693
"ENSG00000205231.1",-0.00774503245679318,0.785945403735284,0.845631031709153
"ENSG00000162571.13",0.035672528416134,0.131088995296601,0.205411432379031
"ENSG00000186891.13",0.140433351912991,2.18735549244126e-07,1.38719063241359e-06
"ENSG00000186827.10",0.040882908975381,0.0911366313925976,0.151399847668218
"ENSG00000078808.16",-0.0326614845961655,3.15675805717546e-05,0.000125891355045006
"ENSG00000176022.4",-0.0449322957171197,0.00178535572734707,0.00486096473192265
"ENSG00000184163.3",0.122644400106342,8.18507015388368e-08,5.68421369759901e-07
"ENSG00000260179.1",-0.0474242577620395,0.0655529508166512,0.114739081401353
"ENSG00000160087.20",-0.066190103056586,1.35231500734305e-13,3.04938043958119e-12
"ENSG00000230415.1",0.114775243902428,1.67738974369272e-06,8.86946664112412e-06
"ENSG00000162572.20",0.170288132800716,6.08361089773034e-16,2.242931280979e-14
"ENSG00000131584.18",0.00506628349249014,0.675481142598451,0.757685412954708
"ENSG00000278073.1",-0.0161502111399847,0.916061731335767,NA
"ENSG00000169972.11",-0.0259715894497668,0.042444471512113,0.0791623664718885
"ENSG00000127054.20",0.0387662900043038,5.20896940826019e-06,2.47287897010815e-05
"ENSG00000283712.1",-0.0260887458917606,0.86348372020828,NA
"ENSG00000240731.1",0.060329925350284,0.000163510971717995,0.000559500269902195
"ENSG00000224051.6",-0.0224888136635049,0.3554875055141,0.462685946684457
"ENSG00000169962.4",-0.00388152861371659,0.829510446821345,0.879138111035528
"ENSG00000107404.19",-0.00308345468608722,0.772409486825936,0.835353277193897
"ENSG00000284372.1",-0.0191787481965548,0.940216935913903,NA
"ENSG00000162576.16",0.155057094089167,3.4532085502116e-14,8.8381842028172e-13
"ENSG00000175756.13",-0.0345626112284237,0.00195151233092071,0.00526090369273472
"ENSG00000223663.2",-0.0782001370171539,0.049144768924097,0.0896914300544391
"ENSG00000221978.11",0.078389139757836,2.64763346469682e-13,5.62109113546286e-12
"ENSG00000224870.6",-0.0306498931204393,0.00315335100520428,0.00808400620336003
"ENSG00000242485.5",-0.0126391885349834,0.150952720420203,0.230988199738825
"ENSG00000272455.1",0.0518770931578266,0.0135637150693704,0.0293607141394816
"ENSG00000235098.8",0.0337739918977896,0.0916637185612362,0.152133917239182
"ENSG00000225905.1",0.0826488930637002,0.0724119931606148,0.124812424543061
"ENSG00000205116.3",-0.0131645945387538,0.748388606986016,0.817080913563408
"ENSG00000225285.1",0.143715562401823,3.25101158394488e-06,1.6146323407746e-05
"ENSG00000179403.11",0.171633765449528,5.56422673081889e-14,1.35336236146602e-12
"ENSG00000215915.9",0.103539341540242,0.000422708819877818,0.00132525260779557
